PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Gunnell, Kelly; Tada, Michelle K.; Hawthorne, Felicia A.; Keeley, Ernest R.; Ptacek, Margaret B.								Geographic patterns of introgressive hybridization between native Yellowstone cutthroat trout (Oncorhynchus clarkii bouvieri) and introduced rainbow trout (O-mykiss) in the South Fork of the Snake River watershed, Idaho								CONSERVATION GENETICS				9	1			49	64		10.1007/s10592-007-9302-6			FEB 2008	2008	Throughout its native range, the Yellowstone cutthroat trout (YCT), Oncorhynchus clarkii bouvieri, is declining dramatically in both abundance and distribution as a result of introgression with introduced rainbow trout (RBT), O. mykiss. We sampled over 1,200 trout from the South Fork of the Snake River (SFSR) watershed, in southeastern Idaho and western Wyoming, and measured the extent of introgression of RBT genes into native gene pools of YCT using seven species-specific, co-dominant nuclear genetic markers. We also used mitochondrial DNA (mtDNA) haplotype differences between the two parental trout species to determine the directionality of the hybridization. We found low levels of RBT introgression (only 7% of sampled individuals had one or more RBT alleles) into YCT gene pools, with the majority of hybrids (78%) occurring in mainstem localities of the SFSR and in lower elevation reaches of certain tributaries. Hybridization was bidirectional with respect to mtDNA haplotype, but the majority of hybrids (75%) had YCT maternal haplotypes, indicative of the greater proportion (90%) of YCT-genotypes in the SFSR watershed. The primary factor influencing the geographic distribution of RBT introgressed individuals was fluvial distance from localities of stocking origin. To a lesser extent, elevation, also influenced the distribution of hybrid genotypes, with several entire tributaries and all upper elevation reaches within tributaries harboring only YCT-genotypes. Important management implications of the study suggest targeting particular tributaries and upper reaches within tributaries for YCT protection and exclusion of RBT hybrid colonization.									36	0	0	36	0	37			1566-0621			WOS:000252223100005		
J	Quartin, Andrew A.; Calonge, Ricardo O.; Schein, Roland M. H.; Crandall, Lee A.								Influence of critical illness on physicians' prognoses for underlying disease: A randomized study using simulated cases								CRITICAL CARE MEDICINE				36	2			462	470		10.1097/01.CCM.0B013E3181611F968			FEB 2008	2008	Objective: During critical illness, physicians often provide estimates of the severity of underlying disease to aid patients and families when formulating care directives. We sought to determine whether factors such as the superimposed acute illness, the prognoses of other patients cared for by the same physician, or the phrasing of inquiry influence these assessments of underlying disease.Design, Setting, and Subjects: Internal medicine attending and resident physicians participated in a computerized, Web-available survey that described two case vignettes, one with cardiomyopathy and the other with lung cancer as underlying diseases. Using random assignment, each respondent was presented one case as having septic shock, and the other as an uneventful clinic visit. Respondents were explicitly asked to ignore the context and to assess the severity of the underlying disease alone to predict survival time and quality of life. The order in which subjects encountered the cases and phrasing of the survival question also were varied through randomization.Measurements and Main Results. Mortality predictions for the cardiomyopathy case at 5 yrs were sensitive to both context (predicted survival, 39% +/- 23% when presented as septic vs. 52% +/- 24% when presented as a clinic patient; p < .001) and to whether a lung cancer case was presented before it (39% +/- 23% when presented after lung cancer vs. 52% +/- 24% when presented before; p < .001). These effects were independent and led to mean predicted 5-yr survival probabilities ranging from 31% to 59%. Predicted 1-yr survival from lung cancer was sensitive to phrasing (p < .05) but not to context. Quality of life predictions were also sensitive to context and case order.Conclusions: Physician appraisal of underlying disease severity is potentially vulnerable to a number of biases that may be relevant in the critical care setting. These biases appear to vary with the nature of the underlying disease.									7	0	0	1	0	7			0090-3493			WOS:000252794000013	18176316	
J	Marriott, Karla-Sue C.; Huffman, John W.								Recent advances in the development of selective ligands for the cannabinoid CB2 receptor								CURRENT TOPICS IN MEDICINAL CHEMISTRY				8	3			187	204					FEB 2008	2008	Two subtypes of the mammalian cannabinoid receptor have been identified and successfully cloned since 1990. The CB1 receptor is primarily located in the central nervous system and the CB2 receptor is almost exclusively expressed in cells of the immune system. The CB1 and CB2 receptors are both G-protein coupled receptors and are involved in the inhibition of adenylate cyclase. The CB2 receptor is of particular importance due to its involvement in signal transduction in the immune system, making it a potential target for therapeutic immune intervention. A number of these selective ligands are derivatives of traditional dibenzopyran based cannabinoids. These include the very recently synthesized (2'R)-1- methoxy-3-(2'-methylbutyl)-Delta(8)-THC(JWH-359) which has a 224 fold selectivity for the CB2 receptor, readily comparable to the well known 1-deoxy-3-(1',1'-dimethylbutyl)-Delta(8)-THC(JWH-133)which has 200 fold selectivity for the CB2 receptor. Several 9-hydroxyhexahydrocannabinols have also been synthesized and are found to be selective high affinity ligands for the CB2 receptor. These are 1-deoxy-9 beta-hydroxy-dimethylhexylhexahydrocannabinol (JWH-361, K-i = 2.7 nM) and 1-deoxy-9 beta-hydroxy-dimethylpentylhexahydrocannabinol (JWH-300, K-i = 5.3 nM). CB2 selective cannabimimetic indoles include 1-(2,3-dichlorobenzoyl)-2-methyl-3-(2-[1-morpholine]ethyl)-5-methoxyindole(L768242), (R)-3(2-Iodo-5- nitrobenzoyl)-1-(1-methyl-2-piperidinylmethyl)-1H-indole(AM1241) and 1-propyl-2-methyl-3-(1-naphthoyl) indole (JWH-015), which exhibit significant selectivity for the CB2 receptor coupled with weak affinity for the CB1 receptor. Bristol-Meyer Squibb has produced a phenylalanine derived cannabimimetic indole which possesses high CB2 affinity (K-i = 8 nM) and very low affinity for the CB1 receptor (Ki = 4000 nM). This review will discuss the current advances and recent results in the structure-activity relationships (SAR) of selective ligands for the cannabinoid CB2 receptor.									53	1	0	46	0	55			1568-0266			WOS:000254078300003	18289088	
J	Henderson, James K.; Freedman, David L.; Falta, Ronald W.; Kuder, Tomasz; Wilson, John T.								Anaerobic biodegradation of ethylene dibromide and 1,2-dichloroethane in the presence of fuel hydrocarbons								ENVIRONMENTAL SCIENCE & TECHNOLOGY				42	3			864	870		10.1021/es0712773			FEB 1 2008	2008	Field evidence from underground storage tank sites where leaded gasoline leaked indicates the lead scavengers 1,2dibromoethane (ethylene dibromide, or EDB) and 1,2dichloroethane (1,2-DCA) may be present in groundwater at levels that pose unacceptable risk. These compounds are seldom tested for at UST sites. Although dehalogenation of EDB and 1,2-DCA is well established, the effect of fuel hydrocarbons on their biodegradability under-anaerobic conditions is poorly understood. Microcosms (2 L glass bottles) were prepared with soil and groundwater from a UST site in Clemson, South Carolina, using samples collected from the source (containing residual fuel) and less contaminated downgradient areas. Anaerobic biodegradation of EDB occurred in microcosms simulating natural attenuation, but was more extensive and predictable in treatments biostimulated with lactate. In the downgradient biostimulated microcosms, EDB decreased below its maximum contaminant level (MCL) (0.05 mu g/L) at a first order rate of 9.4 +/- 0.2yr(-1). The pathway for EDB dehalogenation proceeded mainly by dihaloelimination to ethene in the source microcosms, while sequential hydrogenolysis to bromoethane and ethane was predominant in the downgradient treatments. Biodegradation of EDB in the source microcosms was confirmed by carbon specific isotope analysis, with a delta C-13 enrichment factor of -5.6 parts per thousand. The highest levels of EDB removal occurred in microcosms that produced the highest amounts of methane. Extensive biodegradation of benzene, ethylbenzene, toluene and ortho-xylene was also observed in the source and downgradient area microcosms. In contrast, biodegradation of 1,2-DCA proceeded at a considerably slower rate than EDB, with no response to lactate additions. The slower biodegradation rates for 1,2-DCA agree with field observations and indicate that even if EDB is removed to below its MCL 1,2-DCA may persist.									14	1	0	13	0	15			0013-936X			WOS:000252777600038	18323114	
J	Wang, Y.; Han, B.; Kim, D. W.; Bar-Cohen, A.; Joseph, P.				Han, Bongtae/K-7167-2013	Han, Bongtae/0000-0003-3721-9738			Integrated measurement technique for curing process-dependent mechanical properties of polymeric materials using fiber bragg grating								EXPERIMENTAL MECHANICS				48	1			107	117		10.1007/s11340-007-9067-3			FEB 2008	2008	We propose an integrated technique to measure critical mechanical properties of polymeric materials. The method is based on a fiber Bragg grating (FBG) sensor. A polymer of interest is cured around a glass FBG and the Bragg wavelength (BW) shift is measured and documented while polymerization progresses at the curing temperature. After complete polymerization, the BW shift is monitored continuously as the temperature of the cured polymer changes. The desired material properties are then found inversely from the relationship between the Bragg wavelength shift and the deformation of the polymer caused by the changes in the material properties.									17	0	0	1	0	17			0014-4851			WOS:000252277300009		
J	Fujisaki, Ikuko; Evans, David L.; Moorbead, Robert J.; Irby, Derek W.; Mohammadi-Aragh, Mahnas Jean; Roberts, Scott D.; Gerard, Patrick D.								Stand assessment through lidar-based forest visualization using immersive virtual environment technology								FOREST SCIENCE				54	1			1	7					FEB 2008	2008	This study examined the utility of light detection and ranging (lidar) remote sensing combined with immersive virtual environment technology for timber stand assessment. Lidar data were used to identify locations and extract dimensional information of trees in immature and mature loblolly pine (Pinas taeda, L) stands in northeast Mississippi. Computer visualized stands were built on the basis of lidar measurements and were projected with an interactive room-size stereoscopic display. Representational quality of lidar-based virtual forests was assessed through stand descriptions made by human subjects recruited from the Department of Forestry at Mississippi State University. Subjects examined either field-recorded videos or computer visualizations of immature and mature stands and estimated stocking, tree size class, height class, rotation stage, stand structure, and hardwood competition of each stand. Estimated stand characteristics by the two groups were compared. Significant viewer group differences were found in height class and rotation stage but not in other characteristics. Discussion includes how the immersive virtual environment technologies are potentially useful in natural resources management. Further study of economic aspects and interface development would be required to promote these technologies to an operational system.									1	0	0	1	0	1			0015-749X			WOS:000253306600001		
J	Griggs, Bradley L.; Ladd, Sydney; Saul, Robert A.; DuPont, Barbara R.; Srivastava, Arland K.								Dedicator of cytokinesis 8 is disrupted in two patients with mental retardation and developmental disabilities								GENOMICS				91	2			195	202		10.1016/j.ygeno.2007.10.011			FEB 2008	2008	We have identified disruptions in the dedicator of cytokinesis 8 gene, DOCK8, in two unrelated patients with mental retardation (MR). In one patient, a mate with MR and no speech, we mapped a genomic deletion of approximately 230 kb in subtelomeric 9p. In the second patient, a female with mental retardation and ectodermal dysplasia and a balanced translocation, t(X;9) (q13. 1;p24), we mapped the 9p24 breakpoint to a region overlapping with the centromeric end of the 230-kb subtelomeric deletion. We characterized the DOCKS gene from the critical 9p deletion region and determined that the longest isoform of the DOCKS gene is truncated in both patients. Furthermore, the DOCKS gene is expressed in several human tissues, including adult and fetal brain. Recently, a role for DOCKS in processes that affect the organization of filamentous actin has been suggested. Several genes influencing the actin cytoskeleton have been implicated in human cognitive function and thus a possibility exists that the rare mutations in the DOCKS gene may contribute to some cases of autosomal dominant mental retardation. (c) 2007 Elsevier Inc. All rights reserved.									56	1	0	47	0	58			0888-7543			WOS:000252944500009	18060736	
J	Mahmoodi, Seyed Nima; Jalili, Nader; Daqaq, Mohammed F.								Modeling, nonlinear dynamics, and identification of a piezoelectrically actuated microcantilever sensor								IEEE-ASME TRANSACTIONS ON MECHATRONICS				13	1			58	65		10.1109/TMECH.2008.915823			FEB 2008	2008	Nanomechanical cantilever sensors (NMCSs) have recently emerged as an effective means for label-free chemical and. biological species detection. They operate through the adsorption of species on the functionalized surface of mechanical cantilevers. Through this functionalization, molecular recognition is directly transduced into a micromechanical response. In order to effectively utilize these sensors in practice and correctly relate the micromechanical response to the associated adsorbed species, the chief technical issues related to modeling must be resolved. Along these lines, this paper presents a general nonlinear-comprehensive modeling framework for piezoelectrically actuated microcantilevers and validates it experimentally. The proposed model considers both longitudinal and flexural vibrations and their coupling in addition to the ever-present geometric and material nonlinearities. Utilizing Euler-Bernoulli beam theory and employing the inextensibility conditions, the coupled longitudinal-flexural equations of motion are reduced to one nonlinear partial differential equation describing the flexural vibrations of the sensor. Using a Galerkian expansion, the resulting equation is discretized into a set of nonlinear ordinary differential equations. The method of multiple scales is then implemented to analytically construct the nonlinear response of the sensor near the first modal frequency (primary resonance of the first vibration mode). These solutions are compared to experimental results demonstrating that the sensor exhibits a softening-type nonlinear response. Such behavior can be attributed to the presence of quadratic material nonlinearities in the piezoelectric layer. This observation is critical, as it suggests that unlike macrocantilevers where the geometric hardening nonlinearities dominate the response behavior, material nonlinearities dominate the response of microcantilevers yielding a softening-type response. This behavior should be accounted for when designing and employing such sensors for practical applications.									52	0	0	0	0	52			1083-4435			WOS:000253840800007		
J	Deng, Shaowei; Hubing, Todd; Beetner, Daryl					Hubing, Todd/0000-0003-0154-2189			Estimating maximum radiated emissions from printed circuit boards with an attached cable								IEEE TRANSACTIONS ON ELECTROMAGNETIC COMPATIBILITY				50	1			215	218		10.1109/TEMC.2007.915288			FEB 2008	2008	The common-mode current induced on cables attached to printed circuit boards can be a significant source of radiated emissions. Previous studies have shown that coupling from electric and magnetic field sources on circuit boards can be effectively modeled by placing equivalent voltage sources between the board and the cable. The amplitude of these equivalent sources can be estimated by using closed-form equations; however, estimates of the radiated emissions from these board-cable geometries have required full-wave simulations, and full-wave simulation results depend on the exact cable length and placement, which are not normally fixed during radiated emissions testing. This paper develops a closed-form equation to estimate the maximum radiated fields from a voltage source driving a board relative to an attached cable over a ground plane. This equation is evaluated for various cable and board geometries by comparing the calculated results to full-wave simulations. The maximum radiation calculated by using the closed-form expression generally predicts the peak full-wave simulation results within a few decibels for various board sizes and cable lengths.									20	1	0	0	0	21			0018-9375			WOS:000253504200026		
J	Markman, Gideon D.; Gianiodis, Peter T.; Phan, Phillip H.					Phan, Phillip/0000-0002-1366-1604			Full-time faculty or part-time entrepreneurs								IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT				55	1			29	36		10.1109/TEM.2007.912813			FEB 2008	2008	When agents originate and develop inventions, new discoveries, or scientific breakthroughs, do all residual cash flows go to principals-the risk bearers who own the infrastructures, systems, and the productive assets? This research addresses this question, focusing on university scientists who essentially bypass their institutions when they privately sell or license discoveries made at laboratories of said institutions directly to the market. Using a random sample of 54 U.S. universities and 23 394 faculty members, the study shows that bypassing activity is reduced when universities rely on autonomous technology licensing offices (TLOs) and when faculty departments receive greater shares of the royalties from the licensing of said discoveries. Conversely, bypassing activity is increased with more valuable discoveries and heightened entrepreneurial activities on university campuses.									36	0	0	0	1	37			0018-9391			WOS:000252782500006		
