PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Wolfe, Dylan; Russell, Kelly								Garden/Art: The Nature-Based Sculpture Program of the South Carolina Botanical Garden								ENVIRONMENTAL COMMUNICATION-A JOURNAL OF NATURE AND CULTURE				4	2			237	249	PII 922719639	10.1080/17524031003755341			2010	2010	This essay discusses an art program developed to engage viewers in environmental thought through unexpected experiences. Spread over 300 acres, the 15 nature-based sculptures of the South Carolina Botanical Garden (SCBG) are creative interventions developed with local natural materials to suit their separate unique sites. Since its inception in 1995, the SCBG's sculpture program has worked with artists of national and international prominence to create a world-renowned collection of nature-based site-specific sculptures. Placed in various terrains, without explanation, visitors to the garden experience the art outside of the more common context of gallery or museum space. The sculptures blur distinctions between nature and culture, as well as disrupt the presuppositions attached to public spaces, natural spaces, and artistic expression.									1	0	0	0	0	1			1752-4032			WOS:000278465500007		
J	Van Aggelen, Graham; Ankley, Gerald T.; Baldwin, William S.; Bearden, Daniel W.; Benson, William H.; Chipman, J. Kevin; Collette, Tim W.; Craft, John A.; Denslow, Nancy D.; Embry, Michael R.; Falciani, Francesco; George, Stephen G.; Helbing, Caren C.; Hoekstra, Paul F.; Iguchi, Taisen; Kagami, Yoshi; Katsiadaki, Ioanna; Kille, Peter; Liu, Li; Lord, Peter G.; McIntyre, Terry; O'Neill, Anne; Osachoff, Heather; Perkins, Ed J.; Santos, Eduarda M.; Skirrow, Rachel C.; Snape, Jason R.; Tyler, Charles R.; Versteeg, Don; Viant, Mark R.; Volz, David C.; Williams, Tim D.; Yu, Lorraine				Falciani, Francesco/F-3490-2010; Kille, Peter/A-4337-2010; Viant, Mark/B-6339-2009; Williams, Tim/G-1180-2010; 	Kille, Peter/0000-0001-6023-5221; Viant, Mark/0000-0001-5898-4119; Williams, Timothy/0000-0002-5857-3851; Katsiadaki, Ioanna/0000-0001-8649-2795; Santos, Eduarda/0000-0002-4074-0121			Integrating Omic Technologies into Aquatic Ecological Risk Assessment and Environmental Monitoring: Hurdles, Achievements, and Future Outlook								ENVIRONMENTAL HEALTH PERSPECTIVES				118	1			1	5		10.1289/ehp.0900985			JAN 2010	2010	BACKGROUND: In this commentary we present the findings from an international consortium on fish toxicogenomics sponsored by the U.K. Natural Environment Research Council (Fish Toxicogenomics-Moving into Regulation and Monitoring, held 21-23 April 2008 at the Pacific Environmental Science Centre, Vancouver, BC, Canada).OBJECTIVES: The consortium from government agencies, academia, and industry addressed three topics: progress in ecotoxicogenomics, regulatory perspectives on roadblocks for practical implementation of toxicogenomics into risk assessment, and dealing with variability in data sets.DISCUSSION: Participants noted that examples of successful application of omic technologies have been identified, but critical studies are needed to relate molecular changes to ecological adverse outcome. Participants made recommendations for the management of technical and biological variation. They also stressed the need for enhanced interdisciplinary training and communication as well as considerable investment into the generation and curation of appropriate reference omic data.CONCLUSIONS: The participants concluded that, although there are hurdles to pass on the road to regulatory acceptance, omics technologies are already useful for elucidating modes of action of toxicants and can contribute to the risk assessment process as part of a weight-of-evidence approach.									60	2	0	55	0	62			0091-6765			WOS:000273292800017	20056575	
J	Kim, Ki T.; Klaine, Stephen J.; Lin, Sijie; Ke, Pu C.; Kim, Sang D.				Klaine, Stephen/C-5352-2011; Lin, Sijie/E-7719-2011; Ke, Pu Chun/A-9378-2008; Ke, Pu Chun /K-2805-2013	Lin, Sijie/0000-0002-6970-8221; Ke, Pu Chun /0000-0001-9825-3302			ACUTE TOXICITY OF A MIXTURE OF COPPER AND SINGLE-WALLED CARBON NANOTUBES TO DAPHNIA MAGNA								ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY				29	1			122	126		10.1002/etc.8			JAN 2010	2010	Nanomaterials released into the environment will interact with many materials including other contaminants. This may influence bioavailability and fate of both the nanoparticles and the other contaminants. The present study examined the effect of a combination of soluble copper and surface-modified single-walled carbon nanotubes (SWNTs) on Daphnia magna. Lysophosphatidylcholine (LPC) was used to modify the surface of SWNTs, reducing the surface hydrophobicity of the tubes and thereby producing a stable aqueous nanoparticle suspension. The toxicity of the nanoparticle-copper (Cu) mixture was determined to be additive. The addition of nontoxic concentration of LPC-SWNTs enhanced the uptake and toxicity of copper. Greater amounts of Cu were shown to accumulate in D. magna upon addition of 0.5 and 1.0 mg/L LPC-SWNTs. Environ. Toxicol. Chem. 2010;29:122-126. (C) 2009 SETAC									28	7	0	26	0	35			0730-7268			WOS:000275688800014	20821426	
J	Robinson, Sarah E.; Capper, Neil A.; Klaine, Stephen J.				Klaine, Stephen/C-5352-2011				THE EFFECTS OF CONTINUOUS AND PULSED EXPOSURES OF SUSPENDED CLAY ON THE SURVIVAL, GROWTH, AND REPRODUCTION OF DAPHNIA MAGNA								ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY				29	1			168	175		10.1002/etc.4			JAN 2010	2010	Suspended sediments are a natural component of aquatic ecosystems, but anthropogenic activity such as land development can result in significant increases, especially after rain events. Continuous exposures of suspended clay and silt have been shown to affect growth and reproduction of Cladocera, leading to a decrease in population growth rate. The mechanism of clay toxicity in these filter-feeding organisms is clogging of the gut tract, resulting in decreased food uptake and assimilation. When placed in clean water, daphnids can purge clay from their gut and recover. In many surface waters, aquatic organisms experience episodic exposures of high concentrations of suspended solids driven by rain events. However, little is known about the consequences of pulsed exposures on individuals and populations. The objective of the present study was to characterize the effects of continuous and pulsed exposures of natural and defined clays on survival, growth, and reproduction of Daphnia magna. Two defined clays, montmorillonite and kaolinite, as well as clay isolated from the Piedmont region of South Carolina, USA, were used. Continuous exposures of clays elicited a dose dependent decrease in survival. Toxicity varied depending on clay source with montmorillonite > natural clay > kaolinite. Pulsed exposures caused a decrease in survival in a 24 h exposure of 734 mg/L kaolinite. Exposure to 73.9 mg/l also caused an increase in the time to gravidity, although there was not a corresponding decrease in neonate production over 21 d. No significant effects resulted from 12 h exposures even at 730 mg/l, almost 10 times the 24-h reproductive effects concentration. This suggests that exposure duration impacted toxicity more than exposure concentration in these pulsed exposures. Environ. Toxicol. Chem. 2010;29:168-175. (C) 2009 SETAC									18	0	1	16	3	22			0730-7268			WOS:000275688800020	20821432	
B	Dong, Yuqing; Zou, Sige						Tollefsbol, TO		Sirtuins and Aging								EPIGENETICS OF AGING								51	75		10.1007/978-1-4419-0639-7_5	10.1007/978-1-4419-0639-7		2010	2010	Sirtuins are a family of highly conserved genes widely distributed in organisms ranging, from bacteria to humans. Mounting evidence has revealed the important role of sirtuins in a variety of biological processes, including transcription regulation, apoptosis, DNA repair, metabolism, and more prominently, aging. Sirtuins regulate lifespan in evolutionarily diverse species partly through modulating calorie restriction pathways. Sirtuins link the nutritional status of the cell to transcription regulation through their nicotinamide adenine dinucleotide (NAD(+))-dependent deacetylase and/or ADP-ribosyltransferase. The unique features of sirtuins make them ideal targets for discovery of prolongevity compounds or aging interventions. This chapter will review the functions of sirtuins in aging and aging interventions related to sirtuins.									1	0	0	1	0	1					978-1-4419-0638-0	WOS:000273356700005		
J	Day, Frank								Wealth into Power: The Communist Party's Embrace of China's Private Sector								EUROPE-ASIA STUDIES				62	6			1027	1028	PII 924269138	10.1080/09668136.2010.489267			2010	2010										0	0	0	0	0	0			0966-8136			WOS:000279840500007		
S	Matthews, Gretchen L.; Peachey, Justin D.						McGuire, G; Mullen, GL; Panario, D; Shparlinski, IE		Minimal generating sets of Weierstrass semigroups of certain m-tuples on the norm-trace function field								FINITE FIELDS: THEORY AND APPLICATIONS		Contemporary Mathematics		518				315	326					2010	2010	The norm-trace function field is a generalization of the Hermitian function field which is of importance in coding theory. In this paper, we determine the minimal generating set of the Weierstrass semigroup of the m-tuple (P(infinity), P(0b2), ... , P(0bm)) of places on the norm-trace function field.					9th International Conference on Finite Fields and Applications9th International Conference on Finite Fields and Applications	JUL 13-17, 2009JUL 13-17, 2009		Dubin, IRELANDDubin, IRELAND	0	0	0	0	0	0			0271-4132		978-0-8218-4786-2	WOS:000281141100024		
S	Kim, H. J.; Chen, F.; Wang, X.; Wang, Y.; McGregor, J.; Jiang, Y. M.						Qian, MC; Rimando, AM		Characterization of Antioxidants in Nutmeg (Myristica fragrans Houttuyn) Oil								FLAVOR AND HEALTH BENEFITS OF SMALL FRUITS		ACS Symposium Series		1035				239	252					2010	2010	Antioxidant capacity of nutmeg (Myristica fragrans Houttuyn) oil was investigated by the 2,2-diphenyl-1-picrylhydrazyl (DPPH(center dot)) free radical scavenging assay and the beta-carotene-linoleic acid assay. The antioxidant EC(50) values of the crude nutmeg oil dissolved in methanol were 2.4 mu L/mL and 0.4 mu L/mL, respectively. The former value was approximately equivalent to the free radical scavenging capacities of 462 mu M BHT and 656 mu M alpha-tocopherol, and the latter one was comparable to the inhibitive capacities of 43 mu M BHT and 9 mu M alpha-tocopherol against the oxidation of beta-carotene and linoleic acid. Further investigations discovered three major antioxidant constituents of the nutmeg oil (i.e., eugenol, isoeugenol, and methoxyeugenol), which were sequentially separated and identified by silica open column chromatography, HPLC and GC-MS. Their antioxidant activities in the DPPH(center dot) assay decreased in the following order: eugenol > methoxyeugenol > BUT > isoeugenol > alpha-tocopherol, while in the beta-carotene-linoleic acid assay, the antioxidant activities of the chemicals were in the following order: alpha-tocopherol > BHT > isoeugenol > methoxyeugenol > eugenol.					236th National Meeting of the American-Chemical-Society236th National Meeting of the American-Chemical-Society	AUG 17-21, 2008AUG 17-21, 2008	Amer Chem SocAmer Chem Soc	Philadelphia, PAPhiladelphia, PA	0	0	0	0	0	0			0097-6156		978-0-8412-2549-7	WOS:000292708300015		
S	Meziani, Mohammed J.; Lu, Fushen; Cao, Li; Bunker, Christopher E.; Guliants, Elena A.; Sun, Ya-Ping						Nelson, DJ; Brammer, CN		Fluorinated Templates for Energy-Related Nanomaterials and Applications								FLUORINE-RELATED NANOSCIENCE WITH ENERGY APPLICATIONS		ACS Symposium Series		1064				103	125					2010	2010	Fluorinated ionomer membranes, as represented by the commercially available Nafion films, are macroscopically homogeneous and optically transparent but microscopically inhomogeneous with the presence of nanoscale hydrophilic cavities. These cavities serve as nanoscale reactors for the synthesis of nanoparticles from a variety of materials. The membranes with embedded nanoscale semiconductors, still optically transparent, have been used as sheet-photocatalysts for energy conversion applications, while those with embedded reactive metals used as nano-energetic materials for hydrogen generation and beyond. This chapter provides an overview on the templated synthesis of nanomaterials in fluorinated ionomer membranes and the various energy-related applications of this unique class of nanocomposite materials.									0	0	0	0	0	0			0097-6156		978-0-8412-2610-4	WOS:000305161400007		
J	Prasad, K. Nagendra; Xie, Haihui; Hao, Jing; Yang, Bao; Qiu, Shengxiang; Wei, Xiaoyi; Chen, Fang; Jiang, Yueming				Yang, Bao/E-1736-2011; K, Nagendra Prasad/B-8554-2011				Antioxidant and anticancer activities of 8-hydroxypsoralen isolated from wampee [Clausena lansium (Lour.) Skeels] peel								FOOD CHEMISTRY				118	1			62	66		10.1016/j.foodchem.2009.04.073			JAN 1 2010	2010	Fruits of wampee [Clausena lansium (Lour.) Skeels] contain a significant amount of coumarins with many health benefits. The activity-guided separation of an ethyl acetate-soluble fraction on a polyamide column followed by silica gel column and high performance liquid chromatography (HPLC) preparation afforded a pure compound, which was identified to be 8-hydroxypsoralen based on the (1)H, (13)C NMR (nuclear magnetic resonance), and ESI-MS (electrospray ionisation mass spectrometric) analysis. This isolate exhibited good scavenging activities against DPPH radical and superoxide anion as well as significant reducing power. It also showed potent proliferation inhibitory activity against human hepatocellular liver carcinoma cell line (HepG2), human lung adenocarcinoma epithelial cell line (A549) and human cervical carcinoma cell line (HELA). This is the first report on the antioxidant and cytotoxic properties of C. lansium fruit extract. The food and pharmaceutical industry could be benefited by the usage of this extract containing this constituent. (C) 2009 Elsevier Ltd. All rights reserved.									29	7	0	22	0	39			0308-8146			WOS:000270492500009		
