PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Kim, Young-Teck; Hong, Young-Shick; Kimmel, Robert A.; Rho, Jeong-Hae; Lee, Cherl-Ho				Kimmel, Robert/C-3755-2013				New approach for characterization of gelatin biopolymer films using proton behavior determined by low field (1)H NMR Spectrometry								JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY				55	26			10678	10684		10.1021/jf071092f			DEC 26 2007	2007	The behavior of protons in biopolymer films (BFs) formed with gelatin, water, and glycerol was investigated at various relative humidities (RHs) and concentrations of glycerol using a low field (1)H NMR spectrometer. At a RH of approximately 0%, the distributed spin-spin relaxation times (T(2)) of protons in BFs showed two components: a rapidly relaxing proton with the shortest T(2) derived from protons in the rigid backbone of the gelatin polymer such as CH(1)-, CH(2)-, and CH(3)-, and a slowly relaxing component with longer T(2) from protons of the functional groups in amino acid residues in gelatin such as -OH, -COOH, and -NH(3). These two components are referred to as nonexchangeable (T(2)N) and exchangeable protons (T(2E)), respectively, indicating the different mobility of the protons. The T2E increased as RH increased indicating the increase in relative mobility of protons due to the larger free volume in the BF matrix. Above a RH of 33%, the slowest relaxing component was found in all BFs and referred to as hydration-water protons (T(2w)) with the highest relative mobility of all protons in the films. It suggests that the free volume in BFs can be formed above a RH of 33% in the absence of glycerol. The behaviors of T(2N), T(2E), and T(2W) reveal the formation of free volume in the BF matrix associated with the presence of plasticizers (water and glycerol). The T(2) behavior in BFs is consistent with the behavior of spin-lattice relaxation (T(1)). Our result is the first attempt to characterize using low field (1)H NMR technology how all protons in a film matrix behave and to develop correlations between proton mobility and free volume in protein-based BFs plasticized with water and glycerol.									11	0	0	3	0	11			0021-8561			WOS:000251768800024	18052122	
J	Schuster, David I.; Loa, Ke; Guldi, Dirk M.; Palkar, Amit; Echegoyen, Luis; Stanisky, Christopher; Cross, R. James; Niemi, Marja; Tkachenko, Nikolai V.; Lemmetyinen, Helge				Echegoyen, Luis/B-4570-2011; Niemi, Marja/A-7677-2013; Tkachenko, Nikolai/G-4232-2014; Guldi, Dirk/G-1422-2015	Niemi, Marja/0000-0002-4160-6346; Tkachenko, Nikolai/0000-0002-8504-2335; 			Azobenzene-linked porphyrin - Fullerene dyads								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				129	51			15973	15982		10.1021/ja074684n			DEC 26 2007	2007	A new group of porphyrin-fullerene dyads with an azobenzene linker was synthesized, and the photochemical and photophysical properties of these materials were investigated using steady-state and time-resolved spectroscopic methods. The electrochemical properties of these compounds were also studied in detail. The synthesis involved oxidative heterocoupling of free base tris-aryl-p-aminophenyl porphyrins with a p-aminophenylacetal, followed by deprotection to give the aldehyde, and finally Prato 1,3-dipolar azomethineylide cycloaddition to C-60. The corresponding Zn(II)-porphyrin (ZnP) dyads were made by treating the free base dyads with zinc acetate. The final dyads were characterized by their H-1 NMR, mass, and UV-vis spectra. He-3 NMR was used to determine if the products are a mixture of cis and trans stereoisomers, or a single isomer. The data are most consistent with the isolation of only a single configurational isomer, assigned to the trans (E) configuration. The ground-state UV-vis spectra are virtually a superimposition of the spectral features of the individual components, indicating there is no interaction of the fullerene (F) and porphyrin (H2P/ZnP) moieties in the ground state. This conclusion is supported by the electrochemical data. The steady-state and time-resolved fluorescence spectra indicate that the porphyrin fluorescence in the dyads is very strongly quenched at room temperature in the three solvents studied: toluene, tetrahydrofuran (THF), and benzonitrile (BzCN). The fluorescence lifetimes of the dyads in all solvents are sharply reduced compared to those of H2P and ZnP standards. In toluene, the lifetimes of the free base dyads are 600-790 ps compared to 10.1 ns for the standard, while in THF and BzCN the dyad lifetimes are less than 100 ps. For the ZnP dyads, the fluorescence lifetimes were 10-170 ps vs 2.1-2.2 ns for the ZnP references. The mechanism of the fluorescence quenching was established using time-resolved transient absorption spectroscopy. In toluene, the quenching process is singlet-singlet energy transfer (k approximate to 10(11) s(-1)) to give C-60 singlet excited states which decay with a lifetime of 1.2 ns to give very long-lived C60 triplet states. In THF and BzCN, quenching of porphyrin singlet states occurs at a similar rate, but now by electron transfer, to give charge-separated radical pair (CSRP) states, which show transient absorption spectra very similar to those reported for other H2P-C-60 and ZnP-C-60 dyad systems. The lifetimes of the CSRP states are in the range 145-435 ns in THF, much shorter than for related systems with amide, alkyne, silyl, and hydrogen-bonded linkers. Thus, both forward and back electron transfer is facilitated by the azobenzene linker. Nonetheless, the charge recombination is 3-4 orders of magnitude slower than charge separation, demonstrating that for these types of donor-acceptor systems back electron transfer is occurring in the Marcus inverted region.									91	1	2	15	0	91			0002-7863			WOS:000251974000048	18052375	
J	Haynes, Dahlia; Naskar, Amit K.; Singh, Akhilesh; Yang, Chih-Chao; Burg, Karen J.; Drews, Michael; Harrison, Graham; Smith, Dennis W., Jr.								Poly(L-lactic acid) with segmented perfluoropolyether enchainment								MACROMOLECULES				40	26			9354	9360		10.1021/ma0712192			DEC 25 2007	2007	A novel approach to property enhancement Of Poly(L-lactic acid) (PLLA) through the use of perfluoropolyether (PFPE) enchainment is described. Segmented copolymers (FluoroPLA) exhibit tailored surface properties with reasonably high molecular weights and low polydispersities compared to PLLA alone using standard ring-opening polymerization procedures in the presence of tin catalysts. Low loadings of PFPE content (ca. 1 - 5 wt %) decreases surface energies compared to PLLA from 35 to 38 to 15 - 18 mN/m(2), similar to values reported for poly(tetrafluoroethylene). Ultimate strain studies of FluoroPLA fibers and films have shown a dramatic increase (> 300% elongation) over PLLA. This new class of polymer may further expand the use of renewable resources in a variety of applications such as flame retardants, chemical resistant fibers and/or fabrics with tailorable surface energies and wetting properties.									30	0	0	2	0	30			0024-9297			WOS:000251724700022		
J	Neilson, Andrew R.; Budy, Steven M.; Ballato, John M.; Smith, Dennis W., Jr.								Mixed chromophore perfluorocyclobutyl (PFCB) copolymers for tailored light emission								MACROMOLECULES				40	26			9378	9383		10.1021/ma0717688			DEC 25 2007	2007	Versatile intermediates 4-bromo(trifluorovinyloxy)benzene or 4-trifluorovinyloxyphenylboronic acid pinacol ester undergo a one step Suzuki coupling reaction with commercial aryl diboronic acids or aryl dibromides and afforded three new aryltrifluorovinylether chromophore monomers. The structures of these monomers were confirmed by H-1. F-19, and C-13 NMR spectroscopy and elemental (C, H, and N) combustion analysis. The monomers were readily polymerized via thermal [2 + 2] cyclopolymerization to form chromophore containing PFCB polymers with high molecular weights (Mn = 16 700 - 22 000), superb thermal stability T-d > 450 degrees C, and excellent processability. Photoluminescence studies reveal that the fluorinated ether linkage has no effect on lumiphore emission wavelength or solution quantum yields. Copolymerization affords a facile route to tailored emission from a linear polymeric system that includes a broad range of the visible spectrum. The properties of these polymers were analyzed by differential scanning calorimetry (DSC), thermogravimetric analysis (TGA), gel permeation chromatography (GPC), and absorbance and photoluminescence spectroscopy.									21	3	0	0	0	24			0024-9297			WOS:000251724700025		
J	Iacono, Scott T.; Budy, Stephen M.; Mabry, Joseph M.; Smith, Dennis W., Jr.								Synthesis, characterization, and surface morphology of pendant polyhedral oligomeric silsesquioxane perfluorocyclobutyl aryl ether copolymers								MACROMOLECULES				40	26			9517	9522		10.1021/ma071732f			DEC 25 2007	2007	The synthesis and characterization of solution processable, semi-fluorinated perfluorocyclobutyl (PFCB) aryl ether polymers possessing covalently bound pendant polyhedral oligomeric silsesquioxanes (POSS) cages is reported. The synthesis of POSS aryl trifluorovinyl ether (TFVE) monomers was accomplished by the condensation of commercial monosilanolalkyl-POSS with a TFVE-functionalized chlorosilane. POSS TFVE monomers were elucidated by (1)H, (19)F, (13)C, and (29)Si NMR spectroscopy, ATR-FTIR analysis, and elemental (C, H, and F) combustion analysis. Bulk thermal copolymerization of POSS TFVE monomers afforded random and block PFCB aryl ether copolymers functionalized with various POSS loadings. Quantitative monomer conversion was monitored by 19F NMR, which produced copolymer number-average molecular weights (M(n)) of (19.5-24.9) x 10(3) (in CHCl(3) using polystyrene as standard) determined by gel permeation chromatography (GPC). Thermal properties of POSS PFCB aryl ether copolymers were evaluated by differential scanning calorimetry (DSC) and thermal gravimetric analysis (TGA). Transmission electron microscope (TEM) analysis of spin cast optically transparent, flexible POSS PFCB aryl ether copolymer films revealed the presence of 5-20 nm-sized POSS agglomerates. Optical profilometer analysis of spin and drop cast film surfaces exhibited a modest increase in surface roughness of POSS PFCB aryl ether copolymers as compared to PFCB aryl ether homopolymers without POSS inclusion. The POSS copolymers exhibited a modest increase in hydrophobicity as measured by static water contact angle analysis. Synthesis, characterization, thermal analysis, and unique surface features of POSS PFCB aryl ether copolymers are discussed.									48	1	0	1	0	48			0024-9297			WOS:000251724700044		
J	Clayton, Donald D.								History of science - Hoyle's equation								SCIENCE				318	5858			1876	1877		10.1126/science.1151167			DEC 21 2007	2007										5	0	0	1	0	5			0036-8075			WOS:000251786600042	18096793	
J	Knight, John D.; Kramp, Catherine R.; Hilton, Ebony J.; Vella, Jarrett H.; Grant, Bonnie J.; Hajiaghamohseni, Laela M.; Meierhoefer, Michelle A.; Dunn, S. Patrick; Walters, Matthew J.; Overby, Jason S.; Metz, Clyde R.; Pennington, William T.; VanDerveer, Donald G.; Beam, Charles F.								Synthesis of NH-, 2H-4,5-Dihydrobenz[g]inazoles and related compounds from 1-tetralone carbomethoxyhydrazones and aromatic esters								INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH				46	26			8959	8967		10.1021/ie070760j			DEC 19 2007	2007	The carbomethoxhydrazones of 1-tetralone, 6-methoxy-1-tetralone, and 5,7-dimethyl-1-tetralone were converted to dilithiated intermediates with excess lithium diisopropylamide and condensed with aromatic esters to give C-acylated intermediates that were not usually isolated but cyclized directly with acid to afford the N-carbomethoxydihydrobenzindazoles. These compounds could be separately saponified followed by decarboxylation to the targeted NH-dihydrobenzindazoles. Single-crystal X-ray analysis for several compounds indicated that a single tautomer was present, with the NH-hydrogen atom bonded exclusively to the N-2 of the products. Theoretical calculations indicated this product to be the more stable of the two tautomers.									2	0	0	0	0	2			0888-5885			WOS:000251583100019		
J	Lin, Chien-Chi; Metters, Andrew T.				Lin, Chien-Chi/E-8405-2012; 	Lin, Chien-Chi/0000-0002-4175-8796			Metal-chelating affinity hydrogels for sustained protein release								JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART A				83A	4			954	964		10.1002/jbm.a.31282			DEC 15 2007	2007	Affinity hydrogels based on poly(ethylene glycol) diacrylate and a metal-ion-chelating ligand, glycidyl methacrylate-iminodiacetic acid, have been developed to systematically decrease protein release rates from hydrophilic tissue engineering scaffolds formed in situ. In the current work, tunable and sustained release of a model protein, hexa-histidine tagged green fluorescence protein (hisGFP), is accomplished by judiciously increasing ligand:protein ratio or replacing low-affinity nickel ions with high-affinity copper ions. Agreement between theoretical predictions of a reaction-diffusion model and experimental measurements confirm metalion-mediated sustained protein release from these affinity hydrogels is governed by equilibrium protein-ligand binding affinity (dissociation constant, K-d) as well as protein-ligand dissociation kinetics (protein debinding rate constant, k(off)). The former dictates the release rate in the early period of protein release while the latter determines the long-term sustained release effect. While metal-ion affinity binding has been widely used for various purposes including protein purification and surface patterrning, this is the first report describing its application in systematically controlling protein release from hydrophilic PEG networks suitable for cell encapsulation. By using ligands with proper binding kinetic constants (K-d and k(off)), localized protein delivery can be sustained over clinically relevant timescales while maintaining a favorable environment for cell encapsulation and viability. (c) 2007 Wiley Periodicals, Inc.									39	0	0	20	1	39			1549-3296			WOS:000251267700007	17580324	
J	Svenson, Erik; Schweisinger, Todd; Murdoch, Lawrence C.								Analysis of the hydromechanical behavior of a flat-lying fracture during a slug test								JOURNAL OF HYDROLOGY				347	1-2			35	47		10.1016/j.jhydrot.2007.08.020			DEC 15 2007	2007	Slug tests dilate and contract fractures in aquifers. We developed a coupled hydromechanical analysis of an idealized fracture to evaluate effects of these deformations in fractured crystalline rock aquifers. The analysis shows the abrupt increase in pressure at the beginning of a slug test causes a slight opening of a fracture, but the fracture continues to open as the pressure falls in the wellbore. This happens because the pressure increases over an ever-widening area even though it decreases in the wellbore. Eventually decreasing pressure in the vicinity of the wellbore offsets the spreading pressure and the fracture starts to close, ultimately returning to its initial aperture when the pressure equilibrates. The displacement in the wellbore when the pressure head is rising is always smaller than when the head is falling, and this produces a loop-like, hysteresis when displacement is plotted as a function of pressure. A sensitivity analysis shows the displacement at the wellbore is sensitive to the magnitude and distribution of aquifer properties, suggesting that the displacement signal could be combined with pressure measurements to improve the interpretation of slug tests during aquifer characterization. (c) 2007 Elsevier B.V. All rights reserved.									16	3	0	4	0	19			0022-1694			WOS:000251467700004		
J	Lee, Hyung-Chun; Lee, Hyesuk								Analysis and finite element approximation of an optimal control problem for the Oseen viscoelastic fluid flow								JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS				336	2			1090	1106		10.1016/j.jmaa.2007.03.048			DEC 15 2007	2007	In this article we study a boundary control problem for an Oseen-type model of viscoelastic fluid flow. The existence of a unique optimal solution is proved and an optimality system is derived by the first-order necessary condition. We investigate finite element approximations to a solution of the optimality system, and a solution algorithm for the system based on the gradient method. (c) 2007 Elsevier Inc. All rights reserved.									5	0	0	0	0	5			0022-247X			WOS:000249744000028		
