PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Wheeler, A. G. J. R.								REDISCOVERY OF CORYTHUCHA TUTHILLI DRAKE (HEMIPTERA: TINGIDAE): NEW DISTRIBUTION RECORDS AND FIRST HOST-PLANT ASSOCIATION								PROCEEDINGS OF THE ENTOMOLOGICAL SOCIETY OF WASHINGTON				111	1			239	243		10.4289/0013-8797-111.1.239			JAN 2009	2009	Corythucha tuthilli Drake, a lace bug described more than 65 years ago, has remained known only front its type locality (Creede, Mineral County, Colorado) in the southern Rocky Mountains. No host-plant information has been available. It is newly recorded from Arizona (Luna Lake, Apache County) and from an additional site in Mineral County, Colorado (SW of South Fork). At both sites, nymphs and adults were common on woolly cinquefoil (Potentilla hippiana Lehm.; Rosaceae). A diagnosis and photographs of the adult habitus are included to facilitate recognition of this obscure tingid in the fauna of western North America.									1	0	0	1	0	1			0013-8797			WOS:000263117900025		
B	Cox, Christopher L.; Jeon, Young-Pyo			Donghua University					Modeling of Multifilament Polymer Fiber Melt-Spinning								PROCEEDINGS OF THE FIBER SOCIETY 2009 SPRING CONFERENCE, VOLS I AND II								476	477					2009	2009						Spring Conference of the Fiber-SocietySpring Conference of the Fiber-Society	MAY 27-29, 2009MAY 27-29, 2009	Fiber Soc; DU, Coll Textiles; Key Lab Textiles Sci & Technol, Minist Educ; Engn Res enter Ind Textiles , Minist Educ; State Key Lab Modificat Chem Fibers; Key Lab Sci & Technol Eco Textiles, Minist Educ; Natl Engn Res Ctr Dyeing & Finishing TextilesFiber Soc; DU, Coll Textiles; Key Lab Textiles Sci & Technol, Minist Educ; Engn Res enter Ind Textiles , Minist Educ; State Key Lab Modificat Chem Fibers; Key Lab Sci & Technol Eco Textiles, Minist Educ; Natl Engn Res Ctr Dyeing & Finishing Textiles	Donghua Univ, Shanghai, PEOPLES R CHINADonghua Univ, Shanghai, PEOPLES R CHINA	0	0	0	0	0	0					978-7-5064-5635-7	WOS:000270540900132		
S	Murphy, Michael A.; Fenn, Michael; Goasguen, Sebastien						ElBaz, D; Spies, F; Gross, T		Virtual Organization Clusters								PROCEEDINGS OF THE PARALLEL, DISTRIBUTED AND NETWORK-BASED PROCESSING		Euromicro Conference on Parallel Distributed and Network-Based Processing						401	408		10.1109/.22			2009	2009	Sharing traditional clusters based on multiprogramming systems among different Virtual Organizations (VOs) can lead to complex situations resulting from the differing software requirements of each VO. This complexity could be eliminated if each cluster computing system supported only a single VO, thereby permitting the VO to customize the operating system and software selection available on its private cluster While dedicating entire physical clusters on the Grid to single VOs is not practical in terms of cost and scale, an equivalent separation of VOs may be accomplished by deploying clusters of Virtual Machines (VMs) in a manner that gives each VO its own virtual cluster Such Virtual Organization Clusters (VOCs) can have numerous benefits, including isolation of VOs from one another independence of each VOC from the underlying hardware, allocation of physical resources on a per-VO basis, and clear separation of administrative responsibilities between the physical fabric provider and the VO itself.Initial results of implementing a complete system utilizing the proposed Virtual Organization Cluster Model confirm the administrative simplicity of isolating VO software from the physical system. End-user computational jobs submitted through the Grid are executed only on the virtual cluster supporting the respective VO, and each VO has substantial administrative flexibility in terms of software choice and system configuration. Performance tests using the Kernel-based Virtual Machine (KVM) hypervisor indicated a virtualization overhead of under 10% for latency-tolerant scientific applications, such as those that would be submitted to a standard or vanilla Condor universe. Latency-sensitive applications, such as MPI, experience substantial performance degradation with virtualization overheads on the order of 60%. These results suggest that VOCs are suitable for High-Throughput Computing (HTC) applications, where real-time network performance is not critical. VOCs might also be useful for High-Performance Computing (HPC) applications if virtual network performance can be sufficiently improved.					17th Euromicro International Conference on Parallel, Distributed and Network-Based Processing17th Euromicro International Conference on Parallel, Distributed and Network-Based Processing	FEB 18-20, 2009FEB 18-20, 2009		Bauhaus Univ Weimar, Weimar, GERMANYBauhaus Univ Weimar, Weimar, GERMANY	1	0	0	0	0	1			1066-6192		978-0-7695-3544-9	WOS:000267706900052		
J	Blanco, Hilda; Alberti, Marina; Olshansky, Robert; Chang, Stephanie; Wheeler, Stephen M.; Randolph, John; London, James B.; Hollander, Justin B.; Pallagst, Karina M.; Schwarz, Terry; Popper, Frank J.; Parnell, Susan; Pieterse, Edgar; Watson, Vanessa								Shaken, shrinking, hot, impoverished and informal: Emerging research agendas in planning								PROGRESS IN PLANNING				72				195	250		10.1016/j.progress.2009.09.001			2009	2009	This is the second of two special issues in Progress in Planning exploring emerging research agendas in planning. It brings together scholars from diverse schools working on new areas of research and application in urban design and planning. Emergent research agendas include both novel areas of research and important shifts in the direction of a research area. The challenge for planning schools is to reflect critically on these changes and develop long-term research agendas that can better position our field in society and academia, and provide a basis from which to assess our academic programmes. The chapters in this issue display the different scales and fields of planning, including planning for: disaster recovery; climate change, especially opportunities for mitigation; shrinking cities in the First World; and rapidly urbanising informal and impoverished cities in the global South. At the same time, the chapters identify research areas that respond to major social and environmental changes. Olshansky and Chang highlight the increasing losses from catastrophic disasters, and address the need for disaster recovery planning. Wheeler, Randolph and London focus on climate change, and, noting the urgency of action now, their research agenda emphasises opportunities for planners to develop research and policies to reduce greenhouse gas emissions. Hollander, Pallagst, Schwarz and Popper look at increasing economic and population trends in many First World cities that result in city 'shrinkage'. They present new opportunities for improving cities' green space networks and natural features, and for research. The trebling of urban population in African cities by 2050, in conditions of poverty and informality, is the major trend driving Parnell, Pietriese and Watson's chapter. They present an agenda for new planning theories and for supporting empirical research to address the actual conditions of African cities. (C) 2009 Elsevier Ltd. All rights reserved.									29	1	0	2	0	30			0305-9006			WOS:000273515700001		
J	Blanco, Hilda; Alberti, Marina; Forsyth, Ann; Krizek, Kevin J.; Rodriguez, Daniel A.; Talen, Emily; Ellis, Cliff								Hot, congested, crowded and diverse: Emerging research agendas in planning								PROGRESS IN PLANNING				71				153	205		10.1016/j.progress.2009.03.001			2009	2009	This special issue explores emerging research agendas in planning. It brings together scholars from diverse schools working on new areas of research and application in urban design and planning. Emergent research agendas include both novel areas of research and important shifts in the direction of a research area. The challenge for planning schools is to reflect critically on these changes and develop long-term research agendas that can better position our field in society and academia, and provide a basis from which to assess our academic programmes. The chapters presented in this issue reinforce key aspects of planning: multi-scale, and multi-faceted, yet integrative in its intent, stressing the physical, yet inescapably social. At the same time, they identify research areas that respond to major social and environmental changes. Blanco and Alberti focus on the latest findings in climate change science and on planning for adaptation; they highlight the opportunities that planners have to provide leadership in this area. Forsyth, Krizek and Rodriguez take up the issue of non-motorised travel, a topic of increasing interest for urban designers, public health experts and transportation and energy planners. For Talen and Ellis, an emerging challenge is the need to plan for diverse and compact communities. What social factors, policies, programmes and planning processes facilitate compact and diverse communities? (C) 2009 Elsevier Ltd. All rights reserved.									46	1	0	10	0	47			0305-9006			WOS:000267710000001		
J	Walker, Alexander D.; Muth, Eric R.; Odle-Dusseau, Heather N.; Moore, De Wayne; Pilcher, June J.								The effects of 28 hours of sleep deprivation on respiratory sinus arrhythmia during tasks with low and high controlled attention demands								PSYCHOPHYSIOLOGY				46	1			217	224		10.1111/j.1469-8986.2008.00718.x			JAN 2009	2009	Task performance while sleep deprived may be moderated by the controlled attention required by the task (Pilcher, Band, Odle-Dusseau, & Muth, 2007). This study examined the effects of 28 h of sleep deprivation on respiratory sinus arrhythmia (RSA) during tasks with low and high controlled attention demands. The results showed that RSA increased throughout the night for both task types, but was consistently reduced during the low compared to high controlled attention tasks. The increase in RSA was linear for the high controlled attention tasks but curvilinear for the low ones. Hence, RSA followed a circadian pattern during the low controlled attention tasks but not the high ones. These results suggest that the effects of sleep deprivation on task performance may be moderated by parasympathetic activity and task type, and this has implications for task assignment during sustained operations that cause sleep deprivation.									15	1	0	10	0	16			0048-5772			WOS:000261983300024	18823412	
S	Zhu, Lin; Yariv, Amnon						Razeghi, M; Sudharsanan, R; Brown, GJ		Spectral and spatial modal control of photonic crystal broad area lasers								QUANTUM SENSING AND NANOPHOTONIC DEVICES VI		Proceedings of SPIE-The International Society for Optical Engineering		7222						72220L	10.1117/12.814675			2009	2009	Photonic crystal structures have been used to improve modal properties of broad area semiconductor lasers in recent years. It has been demonstrated that the width of single-mode semiconductor laser can be increased by at least two orders of magnitude using the transverse Bragg reflection of two dimensional periodic nanostructures. In this talk, we will describe a photonic crystal structure to obtain the single mode operation of large-area, edge-emitting semiconductor lasers. Pulsed and CW operation of electrically pumped, single-mode photonic crystal broad area lasers (100 mu m wide and 550 mu m long) with single-lobe, diffraction-limited far-fields are experimentally demonstrated at room temperature. A wavelength tuning sensitivity 80 times smaller than a conventional DFB laser is also achieved for the photonic crystal Bragg laser.					Conference on Quantum Sensing and Nanophotonic Devices VIConference on Quantum Sensing and Nanophotonic Devices VI	JAN 25-28, 2009JAN 25-28, 2009	SPIESPIE	San Jose, CASan Jose, CA	0	0	0	0	0	0			0277-786X		978-0-8194-7468-1	WOS:000285747500018		
S	Kumar, V. S. Anil; Macauley, Matt; Mortveit, Henning S.						Bournez, O; Potapov, I		Limit Set Reachability in Asynchronous Graph Dynamical Systems								REACHABILITY PROBLEMS, PROCEEDINGS		Lecture Notes in Computer Science		5797				217	+					2009	2009	Using the framework of sequential dynamical systems (SDSs), a class of asynchronous graph dynamical systems, we show flow the notions of reachability and stability can be negatively correlated. Specifically, we show that certain threshold SDSs exhibit update sequence instability: Over certain graph classes, there exist initial configurations from where exponentially many fixed points are reachable under different update sequences, i.e., the omega-limit set has size Theta(2(vertical bar V vertical bar)). We establish this first for treewidth bounded graphs and then for random graphs in the G(n,p) model of Erdos-Renyi for a large range of p. We also show that this update sequence instability is not present in dense graphs, suggesting that sparsity and tree-like structure plays an important role in the stability of the system. These dynamical systems arise in applications such as functional gene annotation, where threshold SDSs are employed to predict gene functions through a fixed point computation, based on an initial state (prediction) and a nongeneric choice of update sequence. The results in this paper should be viewed as cautionary advice in the construction and application of such algorithms. This paper also provides a starting point for a study of update sequence stochastic SDSs.					3rd International Workshop on Reachability Problems3rd International Workshop on Reachability Problems	SEP 23-25, 2009SEP 23-25, 2009		Ecol Polytech, Palaiseau, FRANCEEcol Polytech, Palaiseau, FRANCE	0	0	0	0	0	0			0302-9743		978-3-642-04419-9	WOS:000272107500020		
S	Orlova, Yu.; Maekawal, K.; Rack, H. J.						Cabibbo, M; Spigarelli, S		Ti-ZrO2 Interactions during Manufacturing of High Porous Ti/Ti-based MMC of Regulated Structure								RECENT DEVELOPMENTS IN THE PROCESSING AND APPLICATIONS OF STRUCTURAL METALS AND ALLOYS		Materials Science Forum		604-605				411	+					2009	2009	The present paper reports a microstructure inspection of powder fabrication of regulated structure Ti/Ti-based metal matrix composites (MMC) utilizing sacrificial NaCl particles. Blending, compaction and sintering of Ti and YSZ reinforced Ti compacts containing NaC1 resulted in regulated foam structures with porosities between 45 and 70 pct. SEM observations indicated that three pore sizes and morphologies were formed while XRD analysis suggested that the yttria stabilized zirconia (YSZ) reinforcements are unstable at the high temperature sintering conditions considered in this study.					International Conference on Recent Developments in the Processing and Applications of Structural Metals and AlloysInternational Conference on Recent Developments in the Processing and Applications of Structural Metals and Alloys	JUN 22-25, 2008JUN 22-25, 2008		Marche Polytechn Univ, Dept Mech Engn, Como, ITALYMarche Polytechn Univ, Dept Mech Engn, Como, ITALY	1	0	0	0	0	1			0255-5476		*****************	WOS:000263555900039		
J	Simon, Curtis J.; Tamura, Robert								Do higher rents discourage fertility? Evidence from US cities, 1940-2000								REGIONAL SCIENCE AND URBAN ECONOMICS				39	1			33	42		10.1016/j.regsciurbeco.2008.08.002			JAN 2009	2009	This paper documents the existence of a negative cross-sectional correlation between the price of living space as measured by rent per room and fertility using U.S. Census data over the period 1940-2000. the effect strengthening from 1940 to 1970 and weakening thereafter. The negative correlation does not merely reflect the tendency of larger families to locate within less-expensive areas of a given metropolitan area. Our study focuses on younger households, but analysis of completed fertility among older households reinforces the findings for younger households. Estimates for 36 CMSAs using the American Housing Survey, which permit us to construct persquare-foot measures of the price of living space. indicate that our findings are not merely an artifact of larger families occupying houses with more rooms. Durbin-Wu-Hausman tests reveal little evidence of endogeneity bias. (C) 2008 Elsevier B.V. All rights reserved.									17	0	0	0	0	17			0166-0462			WOS:000262540600004		
